90,0.5,12
130,0.7,21
70,0.5,18
150,0.5,12
130,0.6,18
130,0.8,12
130,0.7,21
90,0.4,18
110,0.5,18
110,0.5,12
150,0.8,21
130,0.4,15
130,0.7,15
110,0.4,12
70,0.8,18
150,0.4,12
110,0.7,15
130,0.6,21
90,0.4,18
70,0.6,21
130,0.4,18
150,0.5,21
70,0.4,24
130,0.8,15
90,0.6,15
