1.8473,15.378,15.378
1.5041,11.991,11.991
1.4825,10.043,10.043
1.4776,9.4986,9.4986
1.4744,8.6637,8.6637
3.3557,15.737,15.737
3.7653,13.311,13.311
3.8928,15.155,15.155
3.5629,11.466,11.466
3.5676,11.636,11.636
7.8186,16.041,16.041
8.078,18.888,18.888
8.3903,32.281,32.281
6.6954,33.654,33.654
6.3219,33.934,33.934
11.43,36.298,36.298
26.931,34.11,34.11
15.42,35.649,35.649
23.681,36.127,36.127
18.787,43.725,43.725
28.467,46.952,46.952
28.29,42.647,42.647
26.398,46.541,46.541
25.893,48.919,48.919
31.479,34.42,34.42
42.884,50.846,50.846
85.507,53.336,53.336
67.1,50.601,50.601
67.921,51.554,51.554
39.032,49.52,49.52
128.35,100.56,100.56
132.71,95.701,95.701
145.82,106.89,106.89
129.95,101.61,101.61
156.72,92.672,92.672
