1.9261,15.378,15.378
1.5436,11.991,11.991
1.7353,10.043,10.043
1.4815,9.4986,9.4986
1.6015,8.6637,8.6637
3.4247,15.737,15.737
3.5649,13.311,13.311
4.352,15.155,15.155
4.2742,11.466,11.466
4.0633,11.636,11.636
8.2389,16.041,16.041
9.0506,18.888,18.888
7.3558,32.281,32.281
9.6563,33.654,33.654
6.8911,33.934,33.934
11.335,38.381,38.381
20.939,34.11,34.11
17.301,35.718,35.718
13.861,36.127,36.127
11.035,46.779,46.779
30.182,43.948,43.948
26.589,44.684,44.684
22.843,48.435,48.435
33.162,45.602,45.602
31.908,34.667,34.667
46.576,55.2,55.2
82.863,53.617,53.617
39.697,50.067,50.067
75.501,50.652,50.652
86.003,44.884,44.884
93.771,101.89,101.89
264.35,91.373,91.373
103.84,101.51,101.51
151.06,100.75,100.75
69.152,98.493,98.493
