Var1
b03s,a09s,c13s,a10s,b04s,c14s,a01s,b05s,c11s,b06s,c12s,a02s,c07s,c08s
b03s,c05s,a07s,c06s,b01s,c11s,a13s,b04s,c12s,a14s,b02s,a08s,c09s,c10s
b03s,a09s,c13s,a10s,c01s,b04s,a07s,b05s,c14s,b06s,c11s,c02s,a08s,c12s
b03s,c05s,a07s,b09s,c06s,b10s,c01s,b13s,a11s,b14s,a08s,b04s,c02s,a12s
a07s,b13s,c03s,c09s,b14s,c10s,a01s,b11s,b05s,c04s,b06s,a08s,a02s,b12s
c05s,b09s,a07s,c06s,b10s,a03s,b13s,c01s,a04s,b14s,a08s,b11s,c02s,b12s
b07s,c13s,c03s,c09s,a05s,c10s,a06s,b11s,c14s,b08s,a01s,c04s,b12s,a02s
b09s,a07s,c13s,b10s,c03s,b01s,c14s,a11s,c04s,a08s,a05s,a06s,b02s,a12s
b03s,b07s,c01s,a13s,c09s,b04s,a14s,c10s,a11s,b08s,a05s,c02s,a06s,a12s
b03s,a09s,c05s,b07s,a10s,c06s,a13s,c01s,b04s,a14s,a11s,b08s,c02s,a12s
c05s,b07s,c06s,a03s,a13s,c11s,b01s,a14s,c12s,a04s,b08s,c09s,c10s,b02s
b03s,b09s,c13s,b10s,c14s,b07s,a05s,c11s,a06s,a01s,c12s,b04s,b08s,a02s
a09s,b07s,c11s,a10s,a13s,c12s,a01s,b05s,b06s,a14s,c03s,b08s,a02s,c04s
a09s,b13s,c01s,a10s,a07s,b14s,c03s,b11s,c04s,b12s,a05s,c02s,a06s,a08s
c05s,b09s,a07s,c06s,b10s,b13s,a01s,c03s,b14s,b11s,c04s,a08s,b12s,a02s
a09s,b13s,a10s,c03s,b14s,c07s,a01s,b11s,a05s,b12s,c04s,a06s,c08s,a02s
b09s,a07s,c01s,b10s,b13s,c03s,a05s,b14s,a06s,c04s,b11s,a08s,c02s,b12s
