0.069701,9.18
0.012944,14.445
0.007112,12.317
0.008574,10.557
0.010548,7.698
0.017615,21.642
0.016246,15.165
0.014378,14.933
0.015299,17.448
0.014824,13.268
0.028477,24.755
0.033503,27.26
0.029782,48.583
0.027411,45.16
0.030314,28.51
0.04978,54.565
0.047743,50.371
0.049088,63.381
0.046744,56.655
0.044598,70.942
0.090173,79.112
0.084979,87.907
0.087708,78.312
0.086377,87.271
0.087114,56.676
0.17125,92.515
0.17524,79.411
0.17301,109.52
0.17374,101.48
0.17704,124.82
0.30991,181.21
0.31774,189.69
0.28433,245.57
0.31755,212.51
0.29489,207.07
