0.74473,15.378,,c01s,b05s,a03s,b06s,a04s,c02s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0.59024,11.991,,c01s,b03s,a05s,a06s,b04s,c02s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0.66127,10.043,,a03s,c01s,b05s,a04s,c02s,b06s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0.57431,9.4986,,a03s,c05s,b01s,a04s,b02s,c06s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0.58062,8.6637,,a05s,b01s,c03s,c04s,b02s,a06s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
2.0665,15.737,,b03s,a07s,a05s,a09s,c01s,a06s,a10s,b04s,c02s,a08s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3.9664,13.561,,a01s,b05s,a03s,b09s,c07s,b10s,a02s,a04s,b06s,c08s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
2.3751,15.53,,a05s,c09s,b07s,a01s,c03s,b08s,c10s,a02s,a06s,c04s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
2.9586,11.466,,a03s,c05s,a07s,b09s,b10s,a04s,b01s,c06s,b02s,a08s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3.0327,12.089,,a01s,a05s,c07s,a09s,b03s,a02s,a10s,a06s,b04s,c08s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
8.3525,15.76,,a07s,b13s,c11s,a09s,c05s,b01s,a10s,c06s,a03s,b14s,a04s,b02s,c12s,a08s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4.9527,20.792,,a01s,c03s,b05s,a02s,c11s,b06s,b07s,a13s,c04s,b09s,c12s,a14s,b10s,b08s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4.9312,35.875,,b07s,c01s,a11s,b08s,c02s,a09s,b05s,b03s,c13s,a12s,c14s,b06s,b04s,a10s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4.9332,39.31,,c05s,b13s,a11s,c09s,a07s,c01s,a12s,b14s,c06s,a03s,c02s,c10s,a04s,a08s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4.9309,33.934,,a07s,c09s,c13s,b03s,a08s,c01s,b05s,c02s,a11s,b04s,c10s,b06s,c14s,a12s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
8.9948,49.867,,a11s,c01s,b05s,c03s,b13s,a17s,c09s,a07s,b15s,c04s,a18s,b14s,a08s,b16s,c02s,a12s,c10s,b06s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
14.435,43.001,,a17s,c13s,c05s,b09s,c03s,a18s,b11s,c01s,b12s,c04s,b15s,c14s,c06s,a07s,b10s,b16s,c02s,a08s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
8.9726,38.583,,b17s,a01s,c05s,c13s,b07s,c11s,b08s,a02s,c14s,b15s,a09s,c03s,c06s,b16s,a10s,c12s,c04s,b18s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
9.0075,40.519,,b09s,c15s,a05s,b10s,c13s,c07s,a03s,b17s,b01s,c11s,c16s,b02s,c12s,a06s,a04s,b18s,c08s,c14s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
8.9568,48.303,,c01s,b13s,a09s,c15s,b17s,c07s,b14s,c11s,a10s,a03s,b18s,c12s,b05s,a04s,c16s,c08s,b06s,c02s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
21.282,49.641,,c15s,a09s,b11s,b05s,a10s,c23s,a21s,b19s,a07s,b12s,a08s,c17s,c03s,a01s,b13s,c16s,c18s,b14s,a22s,b20s,b06s,a02s,c24s,c04s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
21.206,54.888,,b15s,c23s,a09s,b03s,a05s,c11s,a19s,b16s,c13s,a21s,c07s,c24s,b01s,a10s,b17s,b18s,a22s,c08s,b04s,a20s,c12s,c14s,a06s,b02s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
21.26,51.323,,a19s,c01s,b23s,b09s,c13s,a21s,b11s,a07s,b24s,c02s,b17s,b18s,a20s,c03s,c15s,b05s,a08s,b10s,c14s,c04s,b06s,a22s,c16s,b12s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
21.273,52.1,,b21s,a19s,c17s,a07s,c15s,c03s,a20s,c18s,c13s,b11s,a09s,b01s,a08s,c04s,b23s,b22s,c14s,a05s,b12s,a10s,c16s,b02s,a06s,b24s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
21.235,43.763,,b05s,a17s,c19s,a07s,c11s,a01s,b13s,a15s,b23s,c09s,c20s,b14s,a21s,a03s,a16s,c10s,a18s,a04s,b24s,b06s,c12s,a02s,a22s,a08s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
51.119,56.44,,b23s,c27s,a09s,a21s,b31s,c25s,a19s,c29s,a17s,b24s,a11s,c13s,c03s,a12s,c28s,b05s,a01s,c15s,a22s,b32s,a02s,c14s,b07s,c04s,a20s,b06s,a10s,c30s,c16s,c26s,a18s,b08s,[],[],[],[],[],[],[],[]
51.635,56.959,,c13s,a19s,b11s,b07s,a31s,c03s,c01s,a25s,b27s,c17s,a32s,a21s,b05s,a15s,c18s,b23s,a26s,b28s,c09s,b12s,a16s,c02s,c10s,a29s,b24s,a20s,c14s,b06s,b08s,a30s,a22s,c04s,[],[],[],[],[],[],[],[]
62.049,54.023,,a13s,c23s,a17s,b09s,c29s,a18s,b21s,c01s,a19s,a25s,c24s,b22s,a11s,a03s,c05s,b07s,c30s,a26s,b31s,c15s,b08s,c27s,a04s,c02s,b10s,a14s,c06s,b32s,a12s,c16s,a20s,c28s,[],[],[],[],[],[],[],[]
62.096,53.282,,c07s,b27s,c13s,a09s,c21s,b19s,b29s,c25s,b23s,c17s,b03s,a10s,c11s,b20s,a31s,a05s,b24s,c08s,a15s,c22s,b01s,a06s,a16s,c18s,a32s,b02s,c12s,b04s,b28s,c26s,c14s,b30s,[],[],[],[],[],[],[],[]
61.067,51.66,,c05s,b11s,a01s,c19s,b25s,a02s,c27s,b03s,c29s,a31s,c13s,b15s,c23s,c28s,a21s,b26s,b17s,c24s,b07s,a22s,c06s,b08s,a32s,c30s,a09s,a10s,b04s,b16s,c20s,b18s,c14s,b12s,[],[],[],[],[],[],[],[]
141.18,106.83,,c07s,a25s,b37s,c29s,a31s,b35s,c21s,b19s,a39s,c30s,c01s,b05s,b17s,b11s,a27s,c09s,b38s,c33s,c08s,a15s,a03s,c02s,b36s,a23s,b20s,a40s,a26s,a13s,b18s,c22s,a04s,b12s,a16s,a24s,c10s,b06s,c34s,a28s,a32s,a14s
142.04,102.18,,c09s,b11s,c05s,a15s,b27s,b17s,a13s,c29s,b23s,a21s,a39s,b03s,a25s,a19s,b12s,c10s,a01s,c07s,b37s,b31s,c35s,a26s,b18s,c08s,a02s,a22s,b33s,b24s,c36s,a40s,b04s,b34s,a14s,c06s,b38s,c30s,b28s,a16s,b32s,a20s
140.55,106.85,,c01s,b33s,a35s,b21s,c39s,a13s,b31s,c19s,c40s,a37s,a29s,c27s,b32s,c28s,b05s,c23s,b03s,b25s,c15s,a09s,b17s,c11s,b22s,a30s,c07s,a14s,a36s,b18s,b06s,c08s,c16s,a10s,b34s,b04s,c24s,b26s,a38s,c12s,c20s,c02s
140.73,110.21,,b09s,c11s,a13s,b01s,a14s,c37s,a27s,c19s,b35s,a17s,b23s,c25s,b10s,c21s,c15s,a28s,c29s,a18s,b05s,b31s,a33s,c22s,b32s,c38s,a03s,c12s,b24s,c26s,a07s,b02s,c20s,b06s,a08s,b39s,a04s,c16s,b36s,c30s,a34s,b40s
140.89,93.654,,b35s,a01s,c39s,c13s,a27s,b19s,b05s,c40s,c07s,b20s,a33s,c31s,b36s,b37s,b06s,c15s,a17s,b11s,c21s,b23s,c03s,b29s,c09s,b38s,a18s,c08s,c14s,b25s,c32s,c10s,b12s,c22s,a02s,a34s,b26s,c16s,a28s,b24s,b30s,c04s
