96.206,69.728,,87.907,,-18.179,,a03s,a17s,c01s,c23s,c07s,b15s,b05s,b09s,a18s,a11s,b16s,a21s,a13s,a22s,c19s,b10s,a04s,c08s,b06s,c24s,c02s,a14s,a12s,c20s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
95.111,75.062,,78.312,,-3.25,,c15s,a17s,c07s,b11s,c03s,c01s,a13s,c21s,a23s,c04s,b09s,a05s,a19s,a20s,a14s,b10s,a18s,c22s,b12s,a24s,c16s,a06s,c02s,c08s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
95.603,79.405,,87.271,,-7.866,,a03s,a07s,c21s,b19s,b11s,c13s,c17s,a15s,a16s,c09s,a05s,b20s,b01s,a06s,c23s,c22s,b12s,c10s,b02s,c14s,a08s,c24s,a04s,c18s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
94.575,62.651,,56.676,,5.975,,a09s,b21s,b19s,a03s,c01s,a23s,c11s,c15s,b05s,b13s,a24s,a17s,a07s,a08s,c02s,c12s,b20s,a10s,b22s,a04s,b06s,b14s,c16s,a18s,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
582.06,90.713,,92.515,,-1.802,,c17s,a07s,a08s,b25s,a03s,a09s,b26s,b29s,a23s,b15s,b31s,a01s,b32s,b16s,c05s,a24s,b27s,a21s,c19s,c13s,c20s,b11s,b28s,a10s,a04s,b12s,a02s,c14s,a22s,b30s,c18s,c06s,[],[],[],[],[],[],[],[]
543.77,93.813,,79.411,,14.402,,a27s,a01s,b03s,c31s,a21s,c23s,b15s,c19s,a22s,a09s,b05s,a07s,a08s,b29s,b16s,b06s,b13s,b30s,c25s,c26s,c11s,c24s,c32s,b04s,b17s,c20s,a02s,b14s,b18s,a28s,a10s,c12s,[],[],[],[],[],[],[],[]
545.24,97.448,,109.52,,-12.072,,c31s,a25s,b09s,b01s,b10s,c07s,a17s,a03s,a29s,c11s,a05s,c13s,a06s,a27s,c19s,c21s,a30s,c22s,a18s,c20s,c08s,c23s,c12s,b02s,c32s,c14s,a15s,a04s,a16s,c24s,a26s,a28s,[],[],[],[],[],[],[],[]
544.68,90.978,,101.48,,-10.502,,b03s,b19s,a05s,a15s,c11s,a23s,c25s,a27s,a16s,b13s,a06s,c01s,c17s,b29s,a31s,b30s,a07s,c12s,a09s,c02s,a21s,a22s,a08s,b14s,a28s,b04s,c18s,b20s,a10s,a24s,c26s,a32s,[],[],[],[],[],[],[],[]
843.41,92.914,,124.82,,-31.906,,b15s,b27s,b05s,b25s,b29s,c31s,b11s,c21s,b03s,b06s,b16s,a13s,b23s,c07s,b24s,a14s,b30s,a01s,a19s,a02s,b12s,a20s,c32s,a09s,b26s,c22s,c17s,b04s,b28s,c08s,a10s,c18s,[],[],[],[],[],[],[],[]
1368.5,219.08,,181.21,,37.87,,a29s,c23s,c09s,a11s,a13s,c03s,c04s,a12s,a30s,a35s,a17s,b25s,c19s,b37s,c31s,a27s,b15s,b07s,b39s,a14s,b16s,c21s,c20s,a33s,a36s,b40s,a05s,c22s,c24s,b38s,c10s,c32s,c01s,b08s,a18s,a34s,b26s,a28s,c02s,a06s
1422.6,211.86,,189.69,,22.17,,a13s,b31s,b23s,a25s,b24s,a15s,a35s,b11s,b32s,a05s,a06s,b39s,b03s,a09s,c01s,c17s,b12s,b19s,b40s,a29s,b33s,b04s,a26s,a16s,c27s,b21s,b34s,c18s,a36s,a37s,a14s,c28s,b22s,b07s,a30s,c02s,b20s,a38s,b08s,a10s
1399.6,219.3,,245.57,,-26.27,,b31s,a03s,a27s,c25s,c17s,c07s,a13s,c26s,b37s,a11s,c08s,a05s,c15s,b39s,c35s,c23s,c01s,a14s,a29s,c36s,b40s,c19s,a30s,c18s,c24s,b38s,b33s,b09s,b10s,c16s,b34s,a06s,b32s,c21s,a04s,a12s,a28s,c22s,c20s,c02s
1371.4,199.64,,212.51,,-12.87,,c01s,a37s,b39s,a33s,c25s,c03s,b29s,b40s,a19s,c13s,c05s,c31s,c06s,b23s,a35s,c14s,c02s,c27s,c04s,a07s,c26s,a38s,c09s,c28s,a34s,b11s,a21s,b12s,a15s,a20s,b30s,c32s,a16s,c17s,a36s,b24s,c18s,a22s,c10s,a08s
1355.6,201.12,,207.07,,-5.95,,c15s,b23s,b27s,c31s,c03s,c01s,c25s,c32s,a11s,a39s,b37s,b07s,a19s,b24s,a12s,b05s,a33s,b38s,b29s,c09s,b21s,a34s,c26s,a40s,c17s,a35s,c04s,a13s,c02s,b08s,b28s,c10s,a36s,c16s,b22s,c18s,a14s,b30s,b06s,a20s
