0.22047,9.2854
0.051152,9.5503
0.039913,8.5577
0.042926,15.722
0.041727,8.8915
0.037884,9.1033
0.037602,9.8565
0.070901,11.972
0.046348,9.5327
0.051741,12.111
0.055611,10.951
0.047234,10.926
0.065286,12.852
0.058801,11.486
0.048748,7.7154
0.071126,17.628
0.060597,19.097
0.074489,15.531
0.081289,14.902
0.090114,16.573
0.086476,17.857
0.077659,16.668
0.074326,16.7
0.075674,15.603
0.085839,14.05
0.089869,16.305
0.099627,14.162
0.089934,14.084
0.10309,14.432
0.091634,13.668
0.089802,13.167
0.098196,15.4
0.11932,20.795
0.13432,20.836
0.14224,24.915
0.13186,22.006
0.12299,18.847
0.1088,64.469
0.10275,10.85
0.12284,13.689
0.31339,82.247
0.48928,68.555
0.25412,19.674
0.32607,77.907
0.54349,93.515
2.0796,17.397
2.8698,29.702
0.64601,99.766
