cost_plan1_1,cost_plan1_2,cost_plan1_3,cost_plan2_1,cost_plan2_2,cost_plan2_3,cost_plan3_1,cost_plan3_2,cost_plan3_3
8.26651225260085,6.61457199220025,,0.500239192786811,6.29204936805172,,7.09488716167495,8.19149531963487,5.47040403558092
2.29043248108299,5.80298540271299,,4.90627073549758,4.93134672275232,,1.79007331886155,6.98967335216747,6.37155894107557
2.29043248108299,1.83362829384802,,0.500239192786811,6.29204936805172,,3.31976726486963,6.16133106557341,5.47040403558092
2.29043248108299,8.19149531963487,,0.500239192786811,1.85716354153316,4.77449252299132,3.31976726486963,4.59186526914717,
8.26651225260085,7.58519278594816,,6.62838443363087,2.09805879841343,5.47040403558092,4.5845122430745,1.85716354153316,
3.55813748053669,2.7014274930118,,2.18292054138487,6.37155894107557,5.47040403558092,3.31976726486963,4.59186526914717,
8.26651225260085,4.59186526914717,,2.681443053656,8.19149531963487,,4.5845122430745,1.85716354153316,4.77449252299132
8.08137101489593,8.68365016856391,8.19149531963487,4.90627073549758,6.61457199220025,,4.5845122430745,3.11853080698267,
8.08137101489593,2.09805879841343,5.47040403558092,0.500239192786811,2.7014274930118,,3.31976726486963,6.61457199220025,
1.70480003941811,6.37155894107557,5.47040403558092,0.500239192786811,2.7014274930118,,3.31976726486963,4.59186526914717,
3.55813748053669,3.11853080698267,,4.90627073549758,7.58519278594816,,1.79007331886155,6.98967335216747,6.37155894107557
8.26651225260085,4.59186526914717,,0.500239192786811,2.7014274930118,1.83362829384802,2.85512321592256,5.47040403558092,
8.26651225260085,6.61457199220025,4.77449252299132,6.62838443363087,8.68365016856391,,4.5845122430745,6.25358330332298,
8.08137101489593,8.68365016856391,1.83362829384802,6.69080556776238,5.47040403558092,,3.31976726486963,4.93134672275232,
8.26651225260085,7.58519278594816,,2.18292054138487,6.37155894107557,5.47040403558092,4.5845122430745,6.29204936805172,
8.26651225260085,4.59186526914717,6.98967335216747,6.69080556776238,5.47040403558092,,4.5845122430745,2.7014274930118,
8.08137101489593,8.68365016856391,,2.18292054138487,6.37155894107557,5.47040403558092,3.31976726486963,4.93134672275232,
3.55813748053669,2.7014274930118,,4.90627073549758,6.61457199220025,,1.79007331886155,2.09805879841343,5.47040403558092
3.55813748053669,6.29204936805172,,2.18292054138487,6.37155894107557,5.47040403558092,3.31976726486963,7.58519278594816,
2.29043248108299,8.19149531963487,,4.90627073549758,6.61457199220025,4.77449252299132,4.5845122430745,6.29204936805172,
2.29043248108299,5.80298540271299,,0.500239192786811,1.85716354153316,,3.31976726486963,4.59186526914717,2.09805879841343
8.08137101489593,8.68365016856391,8.19149531963487,0.500239192786811,1.85716354153316,,3.31976726486963,1.84008030044887,
8.26651225260085,4.59186526914717,8.68365016856391,0.500239192786811,1.85716354153316,,2.85512321592256,5.47040403558092,
1.70480003941811,4.77449252299132,,0.500239192786811,6.25358330332298,,3.31976726486963,4.59186526914717,8.68365016856391
8.26651225260085,6.16133106557341,5.47040403558092,0.500239192786811,1.85716354153316,,1.79007331886155,8.68365016856391,
